weight,num,max
92.1,4,2.52066E-12
92.2,4,2.516E-12
92.3,4,2.51134E-12
92.4,4,2.50669E-12
92.5,4,2.50206E-12
92.6,4,2.49743E-12
92.7,4,2.49281E-12
92.8,4,2.48821E-12
92.9,4,2.48361E-12
93,4,2.47902E-12
93.1,4,2.47444E-12
93.2,4,2.46987E-12
93.3,4,2.46531E-12
93.4,4,2.46075E-12
93.5,4,2.45621E-12
93.6,4,2.45168E-12
93.7,4,2.44715E-12
93.8,4,2.44264E-12
93.9,4,2.43813E-12
94,4,2.43364E-12
94.1,4,2.42915E-12
94.2,4,2.42467E-12
94.3,4,2.4202E-12
94.4,4,2.41574E-12
94.5,4,2.41129E-12
94.6,4,2.40685E-12
94.7,4,2.40241E-12
94.8,4,2.39799E-12
94.9,4,2.39357E-12
95,4,2.38917E-12
95.1,4,2.38477E-12
95.2,4,2.38038E-12
95.3,4,2.376E-12
95.4,4,2.37163E-12
95.5,4,2.36727E-12
95.6,4,2.36291E-12
95.7,4,2.35857E-12
95.8,4,2.35423E-12
95.9,4,2.3499E-12
96,4,2.34558E-12
96.1,4,2.34127E-12
96.2,4,2.33697E-12
96.3,4,2.33267E-12
96.4,4,2.32839E-12
96.5,4,2.32411E-12
96.6,4,2.31984E-12
96.7,4,2.31558E-12
96.8,4,2.31133E-12
96.9,4,2.30709E-12
97,4,2.30285E-12
97.1,4,2.29862E-12
97.2,4,2.29441E-12
97.3,4,2.2902E-12
97.4,4,2.28599E-12
97.5,4,2.2818E-12
97.6,4,2.27761E-12
97.7,4,2.27344E-12
97.8,4,2.26927E-12
97.9,4,2.26511E-12
98,4,2.26095E-12
98.1,4,2.25681E-12
98.2,4,2.25267E-12
98.3,4,2.24854E-12
98.4,4,2.24442E-12
98.5,4,2.24031E-12
98.6,4,2.23621E-12
98.7,4,2.23211E-12
98.8,4,2.22802E-12
98.9,4,2.22394E-12
99,4,2.21986E-12
99.1,4,2.2158E-12
99.2,4,2.21174E-12
99.3,4,2.20769E-12
99.4,4,2.20365E-12
99.5,4,2.19962E-12
99.6,4,2.19559E-12
99.7,4,2.19157E-12
99.8,4,2.18756E-12
99.9,4,2.18356E-12
100,4,2.17956E-12
100.1,4,2.17557E-12
100.2,4,2.17159E-12
100.3,4,2.16762E-12
100.4,4,2.16365E-12
100.5,4,2.1597E-12
100.6,4,2.15575E-12
100.7,4,2.1518E-12
100.8,4,2.14787E-12
100.9,4,2.14394E-12
101,4,2.14002E-12
101.1,4,2.13611E-12
101.2,4,2.1322E-12
101.3,4,2.1283E-12
101.4,4,2.12441E-12
101.5,4,2.12053E-12
101.6,4,2.11665E-12
101.7,4,2.11278E-12
101.8,4,2.10892E-12
101.9,4,2.10507E-12
102,4,2.10122E-12
102.1,4,2.09738E-12
102.2,4,2.09355E-12
102.3,4,2.08972E-12
102.4,4,2.0859E-12
102.5,4,2.08209E-12
102.6,4,2.07829E-12
102.7,4,2.07449E-12
102.8,4,2.0707E-12
102.9,4,2.06691E-12
103,4,2.06314E-12
103.1,4,2.05937E-12
103.2,4,2.05561E-12
103.3,4,2.05185E-12
103.4,4,2.0481E-12
103.5,4,2.04436E-12
103.6,4,2.04063E-12
103.7,4,2.0369E-12
103.8,4,2.03318E-12
103.9,4,2.02947E-12
104,4,2.02576E-12
104.1,4,2.02206E-12
104.2,4,2.01837E-12
104.3,4,2.01468E-12
104.4,4,2.011E-12
104.5,4,2.00733E-12
104.6,4,2.00366E-12
104.7,4,2E-12
104.8,4,1.99635E-12
104.9,4,1.9927E-12
